Geno,F,M
DS11.05173,IA3023,CL0J095.4.6
DS11.05174,IA3023,CL0J095.4.6
DS11.05175,IA3023,CL0J095.4.6
DS11.05177,IA3023,CL0J095.4.6
DS11.05180,IA3023,CL0J095.4.6
DS11.05182,IA3023,CL0J095.4.6
DS11.05183,IA3023,CL0J095.4.6
DS11.05184,IA3023,CL0J095.4.6
DS11.05185,IA3023,CL0J095.4.6
DS11.05187,IA3023,CL0J095.4.6
DS11.05188,IA3023,CL0J095.4.6
DS11.05189,IA3023,CL0J095.4.6
DS11.05190,IA3023,CL0J095.4.6
DS11.05191,IA3023,CL0J095.4.6
DS11.05196,IA3023,CL0J095.4.6
DS11.05197,IA3023,CL0J095.4.6
DS11.05198,IA3023,CL0J095.4.6
DS11.05202,IA3023,CL0J095.4.6
DS11.05203,IA3023,CL0J095.4.6
DS11.05204,IA3023,CL0J095.4.6
DS11.05205,IA3023,CL0J095.4.6
DS11.06001,IA3023,PI643395
DS11.06002,IA3023,PI643395
DS11.06003,IA3023,PI643395
DS11.06004,IA3023,PI643395
DS11.06005,IA3023,PI643395
DS11.06006,IA3023,PI643395
DS11.06007,IA3023,PI643395
DS11.06008,IA3023,PI643395
DS11.06009,IA3023,PI643395
DS11.06010,IA3023,PI643395
DS11.06011,IA3023,PI643395
DS11.06012,IA3023,PI643395
DS11.06014,IA3023,PI643395
DS11.06015,IA3023,PI643395
DS11.06016,IA3023,PI643395
DS11.06017,IA3023,PI643395
DS11.06019,IA3023,PI643395
DS11.06020,IA3023,PI643395
DS11.06022,IA3023,PI643395
DS11.06026,IA3023,PI643395
DS11.06027,IA3023,PI643395
DS11.06028,IA3023,PI643395
DS11.06029,IA3023,PI643395
DS11.06030,IA3023,PI643395
DS11.06031,IA3023,PI643395
DS11.06032,IA3023,PI643395
DS11.06035,IA3023,PI643395
DS11.06036,IA3023,PI643395
DS11.06037,IA3023,PI643395
DS11.06041,IA3023,PI643395
DS11.06042,IA3023,PI643395
DS11.06044,IA3023,PI643395
DS11.06046,IA3023,PI643395
DS11.06047,IA3023,PI643395
DS11.06048,IA3023,PI643395
DS11.06049,IA3023,PI643395
DS11.06050,IA3023,PI643395
DS11.06051,IA3023,PI643395
DS11.06052,IA3023,PI643395
DS11.06053,IA3023,PI643395
DS11.06054,IA3023,PI643395
DS11.06056,IA3023,PI643395
DS11.06059,IA3023,PI643395
DS11.06061,IA3023,PI643395
DS11.06062,IA3023,PI643395
DS11.06063,IA3023,PI643395
DS11.06064,IA3023,PI643395
DS11.06065,IA3023,PI643395
DS11.06068,IA3023,PI643395
DS11.06069,IA3023,PI643395
DS11.06070,IA3023,PI643395
DS11.06071,IA3023,PI643395
DS11.06072,IA3023,PI643395
DS11.06073,IA3023,PI643395
DS11.06074,IA3023,PI643395
DS11.06078,IA3023,PI643395
DS11.06080,IA3023,PI643395
DS11.06081,IA3023,PI643395
DS11.06082,IA3023,PI643395
DS11.06083,IA3023,PI643395
DS11.06085,IA3023,PI643395
DS11.06086,IA3023,PI643395
